#separator:Tab
#html:true
#notetype:Basic
#deck:Neovim::Keymaps
#tags column:3
#columns:Front	Back	Tags
What does <b>Space</b> do in <b>the global config</b>?<br><small>This config · leaders</small>	Global leader prefix for custom mappings.<br><br><small>Exact notation: <code>&lt;Space&gt;</code></small>	nvim config config::leaders context::global
What does <b>]A</b> do in <b>Normal mode</b>?<br><small>This config · arguments</small>	Go to the last argument-list file.<br><br><small>Exact notation: <code>]A</code></small>	nvim config config::arguments mode::normal
What does <b>Space b d</b> do in <b>Normal mode</b>?<br><small>This config · buffers</small>	Delete the current buffer without forcing unsaved changes.<br><br><small>Exact notation: <code>&lt;leader&gt;bd</code></small>	nvim config config::buffers mode::normal
What does <b>Space b o</b> do in <b>Normal mode</b>?<br><small>This config · buffers</small>	Delete other saved file buffers; preserve modified and special buffers.<br><br><small>Exact notation: <code>&lt;leader&gt;bo</code></small>	nvim config config::buffers mode::normal
What does <b>Space b i</b> do in <b>Normal mode</b>?<br><small>This config · buffers</small>	Delete hidden saved file buffers; preserve modified and special buffers.<br><br><small>Exact notation: <code>&lt;leader&gt;bi</code></small>	nvim config config::buffers mode::normal
What does <b>Space p n</b> do in <b>Normal mode</b>?<br><small>This config · project</small>	Choose an ecosystem and scaffold a new project.<br><br><small>Exact notation: <code>&lt;leader&gt;pn</code></small>	nvim config config::project mode::normal
What does <b>Space p r</b> do in <b>Normal mode</b>?<br><small>This config · project</small>	Detect the project and choose a run, build, or test task.<br><br><small>Exact notation: <code>&lt;leader&gt;pr</code></small>	nvim config config::project mode::normal
What does <b>q</b> do in <b>Normal mode</b>?<br><small>This config · project task terminal</small>	Hide the task terminal window without stopping its job.<br><br><small>Exact notation: <code>q</code></small>	nvim config config::project context::task-terminal mode::normal
What does <b>Space t g</b> do in <b>Normal mode</b>?<br><small>This config · Gremlins</small>	Toggle dangerous-Unicode diagnostics for the current buffer.<br><br><small>Exact notation: <code>&lt;leader&gt;tg</code></small>	nvim config config::gremlins mode::normal
What does <b>Space t G</b> do in <b>Normal mode</b>?<br><small>This config · Gremlins</small>	Export current-buffer Gremlins to quickfix and open it.<br><br><small>Exact notation: <code>&lt;leader&gt;tG</code></small>	nvim config config::gremlins mode::normal
What does <b>Esc</b> do in <b>Normal mode</b>?<br><small>This config · core search</small>	Cancel active Salesforce actions after sf.nvim loads; otherwise clear search highlighting.<br><br><small>Exact notation: <code>&lt;Esc&gt;</code></small>	nvim config config::core mode::normal
What does <b>Space t w</b> do in <b>Normal mode</b>?<br><small>This config · word wrap</small>	Toggle window-local soft wrap with linebreak and breakindent.<br><br><small>Exact notation: <code>&lt;leader&gt;tw</code></small>	nvim config config::core mode::normal
What does <b>Ctrl+H</b> do in <b>Normal mode</b>?<br><small>This config · windows</small>	Focus the window to the left.<br><br><small>Exact notation: <code>&lt;C-h&gt;</code></small>	nvim config config::windows mode::normal
What does <b>Ctrl+L</b> do in <b>Normal mode</b>?<br><small>This config · windows</small>	Focus the window to the right.<br><br><small>Exact notation: <code>&lt;C-l&gt;</code></small>	nvim config config::windows mode::normal
What does <b>Ctrl+J</b> do in <b>Normal mode</b>?<br><small>This config · windows</small>	Focus the window below.<br><br><small>Exact notation: <code>&lt;C-j&gt;</code></small>	nvim config config::windows mode::normal
What does <b>Ctrl+K</b> do in <b>Normal mode</b>?<br><small>This config · windows</small>	Focus the window above.<br><br><small>Exact notation: <code>&lt;C-k&gt;</code></small>	nvim config config::windows mode::normal
What does <b>ss</b> do in <b>Normal mode</b>?<br><small>This config · windows</small>	Create a horizontal split; the s prefix delays standalone s by up to 300 ms.<br><br><small>Exact notation: <code>ss</code></small>	nvim config config::windows mode::normal
What does <b>sv</b> do in <b>Normal mode</b>?<br><small>This config · windows</small>	Create a vertical split; the s prefix delays standalone s by up to 300 ms.<br><br><small>Exact notation: <code>sv</code></small>	nvim config config::windows mode::normal
What does <b>sh</b> do in <b>Normal mode</b>?<br><small>This config · windows</small>	Focus the left window; the s prefix delays standalone s by up to 300 ms.<br><br><small>Exact notation: <code>sh</code></small>	nvim config config::windows mode::normal
What does <b>sl</b> do in <b>Normal mode</b>?<br><small>This config · windows</small>	Focus the right window; the s prefix delays standalone s by up to 300 ms.<br><br><small>Exact notation: <code>sl</code></small>	nvim config config::windows mode::normal
What does <b>sj</b> do in <b>Normal mode</b>?<br><small>This config · windows</small>	Focus the lower window; the s prefix delays standalone s by up to 300 ms.<br><br><small>Exact notation: <code>sj</code></small>	nvim config config::windows mode::normal
What does <b>sk</b> do in <b>Normal mode</b>?<br><small>This config · windows</small>	Focus the upper window; the s prefix delays standalone s by up to 300 ms.<br><br><small>Exact notation: <code>sk</code></small>	nvim config config::windows mode::normal
What does <b>s</b> do in <b>Normal mode</b>?<br><small>This config · core editing</small>	Substitute one character; unchanged behavior, but s-prefixed window mappings add up to 300 ms delay.<br><br><small>Exact notation: <code>s</code></small>	nvim config config::core mode::normal collision
What does <b>x</b> do in <b>Normal mode</b>?<br><small>This config · black-hole delete</small>	Delete one character without replacing the yank register.<br><br><small>Exact notation: <code>x</code></small>	nvim config config::delete mode::normal
What does <b>Space d</b> do in <b>Normal mode or Visual mode</b>?<br><small>This config · black-hole delete</small>	Delete without replacing the yank register.<br><br><small>Exact notation: <code>&lt;leader&gt;d</code></small>	nvim config config::delete mode::normal mode::visual
What does <b>Space D</b> do in <b>Normal mode</b>?<br><small>This config · black-hole delete</small>	Delete to end of line without replacing the yank register; LSP buffers override this key.<br><br><small>Exact notation: <code>&lt;leader&gt;D</code></small>	nvim config config::delete mode::normal collision
What does <b>n</b> do in <b>Normal mode</b>?<br><small>This config · search motion</small>	Go to the next search match, open folds, and recenter.<br><br><small>Exact notation: <code>n</code></small>	nvim config config::motion mode::normal
What does <b>N</b> do in <b>Normal mode</b>?<br><small>This config · search motion</small>	Go to the previous search match, open folds, and recenter.<br><br><small>Exact notation: <code>N</code></small>	nvim config config::motion mode::normal
What does <b>Ctrl+D</b> do in <b>Normal mode</b>?<br><small>This config · scroll motion</small>	Scroll half a page down and recenter; picker contexts override it.<br><br><small>Exact notation: <code>&lt;C-d&gt;</code></small>	nvim config config::motion mode::normal
What does <b>Ctrl+U</b> do in <b>Normal mode</b>?<br><small>This config · scroll motion</small>	Scroll half a page up and recenter; picker contexts override it.<br><br><small>Exact notation: <code>&lt;C-u&gt;</code></small>	nvim config config::motion mode::normal
What does <b>J</b> do in <b>Visual mode</b>?<br><small>This config · visual lines</small>	Move the selected lines down and keep them selected.<br><br><small>Exact notation: <code>J</code></small>	nvim config config::editing mode::visual
What does <b>K</b> do in <b>Visual mode</b>?<br><small>This config · visual lines</small>	Move the selected lines up and keep them selected.<br><br><small>Exact notation: <code>K</code></small>	nvim config config::editing mode::visual
What does <b>Esc Esc</b> do in <b>Terminal-job mode</b>?<br><small>This config · terminal</small>	Leave terminal-job mode for Normal mode; useful before local q mappings.<br><br><small>Exact notation: <code>&lt;Esc&gt;&lt;Esc&gt;</code></small>	nvim config config::terminal mode::terminal
What does <b>Left Arrow</b> do in <b>Normal mode</b>?<br><small>This config · hjkl training</small>	Show a reminder to use h instead of moving.<br><br><small>Exact notation: <code>&lt;Left&gt;</code></small>	nvim config config::training mode::normal
What does <b>Right Arrow</b> do in <b>Normal mode</b>?<br><small>This config · hjkl training</small>	Show a reminder to use l instead of moving.<br><br><small>Exact notation: <code>&lt;Right&gt;</code></small>	nvim config config::training mode::normal
What does <b>Up Arrow</b> do in <b>Normal mode</b>?<br><small>This config · hjkl training</small>	Show a reminder to use k instead of moving.<br><br><small>Exact notation: <code>&lt;Up&gt;</code></small>	nvim config config::training mode::normal
What does <b>Down Arrow</b> do in <b>Normal mode</b>?<br><small>This config · hjkl training</small>	Show a reminder to use j instead of moving.<br><br><small>Exact notation: <code>&lt;Down&gt;</code></small>	nvim config config::training mode::normal
What does <b>]d</b> do in <b>Normal mode</b>?<br><small>This config · diagnostics</small>	Jump to the next diagnostic and open its float.<br><br><small>Exact notation: <code>]d</code></small>	nvim config config::diagnostics mode::normal
What does <b>[d</b> do in <b>Normal mode</b>?<br><small>This config · diagnostics</small>	Jump to the previous diagnostic and open its float.<br><br><small>Exact notation: <code>[d</code></small>	nvim config config::diagnostics mode::normal
What does <b>Space e</b> do in <b>Normal mode</b>?<br><small>This config · diagnostics</small>	Show the diagnostic float at the cursor.<br><br><small>Exact notation: <code>&lt;leader&gt;e</code></small>	nvim config config::diagnostics mode::normal
What does <b>Space t d</b> do in <b>Normal mode</b>?<br><small>This config · diagnostics</small>	Toggle end-of-line diagnostic text; keep signs, underlines, and floats.<br><br><small>Exact notation: <code>&lt;leader&gt;td</code></small>	nvim config config::diagnostics mode::normal
What does <b>Space s f</b> do in <b>Normal mode</b>?<br><small>This config · Telescope launch</small>	Find project files.<br><br><small>Exact notation: <code>&lt;leader&gt;sf</code></small>	nvim config config::telescope mode::normal
What does <b>Space s g</b> do in <b>Normal mode</b>?<br><small>This config · Telescope launch</small>	Live-grep project text with ripgrep.<br><br><small>Exact notation: <code>&lt;leader&gt;sg</code></small>	nvim config config::telescope mode::normal
What does <b>Space s m</b> do in <b>Normal mode</b>?<br><small>This config · Telescope launch</small>	Open multi-grep; separate pattern and glob with two spaces.<br><br><small>Exact notation: <code>&lt;leader&gt;sm</code></small>	nvim config config::telescope mode::normal
What does <b>Space s w</b> do in <b>Normal mode or Visual mode</b>?<br><small>This config · Telescope launch</small>	Grep the cursor word or visual selection.<br><br><small>Exact notation: <code>&lt;leader&gt;sw</code></small>	nvim config config::telescope mode::normal mode::visual
What does <b>Space s .</b> do in <b>Normal mode</b>?<br><small>This config · Telescope launch</small>	Search recently opened files.<br><br><small>Exact notation: <code>&lt;leader&gt;s.</code></small>	nvim config config::telescope mode::normal
What does <b>Space Space</b> do in <b>Normal mode</b>?<br><small>This config · Telescope launch</small>	Find and switch among open buffers.<br><br><small>Exact notation: <code>&lt;leader&gt;&lt;leader&gt;</code></small>	nvim config config::telescope mode::normal
What does <b>Space /</b> do in <b>Normal mode</b>?<br><small>This config · Telescope launch</small>	Fuzzy-search only the current buffer in a dropdown.<br><br><small>Exact notation: <code>&lt;leader&gt;/</code></small>	nvim config config::telescope mode::normal
What does <b>Space s /</b> do in <b>Normal mode</b>?<br><small>This config · Telescope launch</small>	Live-grep only files already open in buffers.<br><br><small>Exact notation: <code>&lt;leader&gt;s/</code></small>	nvim config config::telescope mode::normal
What does <b>Space s h</b> do in <b>Normal mode</b>?<br><small>This config · Telescope launch</small>	Search help tags.<br><br><small>Exact notation: <code>&lt;leader&gt;sh</code></small>	nvim config config::telescope mode::normal
What does <b>Space s k</b> do in <b>Normal mode</b>?<br><small>This config · Telescope launch</small>	Search active keymaps and their descriptions.<br><br><small>Exact notation: <code>&lt;leader&gt;sk</code></small>	nvim config config::telescope mode::normal
What does <b>Space s c</b> do in <b>Normal mode</b>?<br><small>This config · Telescope launch</small>	Search Ex commands.<br><br><small>Exact notation: <code>&lt;leader&gt;sc</code></small>	nvim config config::telescope mode::normal
What does <b>Space s s</b> do in <b>Normal mode</b>?<br><small>This config · Telescope launch</small>	Open the Telescope builtins meta-picker.<br><br><small>Exact notation: <code>&lt;leader&gt;ss</code></small>	nvim config config::telescope mode::normal
What does <b>Space s d</b> do in <b>Normal mode</b>?<br><small>This config · Telescope launch</small>	Search current diagnostics.<br><br><small>Exact notation: <code>&lt;leader&gt;sd</code></small>	nvim config config::telescope mode::normal
What does <b>Space s t</b> do in <b>Normal mode</b>?<br><small>This config · TODO search</small>	Search TODO-style comments through Telescope.<br><br><small>Exact notation: <code>&lt;leader&gt;st</code></small>	nvim config config::todo mode::normal
What does <b>Space s r</b> do in <b>Normal mode</b>?<br><small>This config · Telescope launch</small>	Resume the previous Telescope picker.<br><br><small>Exact notation: <code>&lt;leader&gt;sr</code></small>	nvim config config::telescope mode::normal
What does <b>Space s R</b> do in <b>Normal mode or Visual mode</b>?<br><small>This config · Grug Far</small>	Open project search-and-replace; visual text pre-fills the search.<br><br><small>Exact notation: <code>&lt;leader&gt;sR</code></small>	nvim config config::grug-far mode::normal mode::visual
What does <b>Space s n</b> do in <b>Normal mode</b>?<br><small>This config · Telescope launch</small>	Find files under the Neovim config directory.<br><br><small>Exact notation: <code>&lt;leader&gt;sn</code></small>	nvim config config::telescope mode::normal
What does <b>Space s p</b> do in <b>Normal mode</b>?<br><small>This config · Telescope launch</small>	Find files inside installed lazy.nvim plugin packages.<br><br><small>Exact notation: <code>&lt;leader&gt;sp</code></small>	nvim config config::telescope mode::normal
What does <b>Ctrl+J</b> do in <b>Insert mode</b>?<br><small>This config · Telescope picker</small>	Move to the next result; custom override of Telescope&#x27;s default no-op.<br><br><small>Exact notation: <code>&lt;C-j&gt;</code></small>	nvim config config::telescope context::picker mode::insert
What does <b>Ctrl+K</b> do in <b>Insert mode</b>?<br><small>This config · Telescope picker</small>	Move to the previous result; overrides preview-right scrolling in Insert mode.<br><br><small>Exact notation: <code>&lt;C-k&gt;</code></small>	nvim config config::telescope context::picker mode::insert
What does <b>Enter</b> do in <b>Normal mode or Insert mode</b>?<br><small>This config · Telescope picker</small>	Open the selected result.<br><br><small>Exact notation: <code>&lt;CR&gt;</code></small>	nvim config config::telescope context::picker mode::insert mode::normal
What does <b>Ctrl+X</b> do in <b>Normal mode or Insert mode</b>?<br><small>This config · Telescope picker</small>	Open the selected result in a horizontal split.<br><br><small>Exact notation: <code>&lt;C-x&gt;</code></small>	nvim config config::telescope context::picker mode::insert mode::normal
What does <b>Ctrl+V</b> do in <b>Normal mode or Insert mode</b>?<br><small>This config · Telescope picker</small>	Open the selected result in a vertical split.<br><br><small>Exact notation: <code>&lt;C-v&gt;</code></small>	nvim config config::telescope context::picker mode::insert mode::normal
What does <b>Ctrl+T</b> do in <b>Normal mode or Insert mode</b>?<br><small>This config · Telescope picker</small>	Open the selected result in a new tabpage.<br><br><small>Exact notation: <code>&lt;C-t&gt;</code></small>	nvim config config::telescope context::picker mode::insert mode::normal
What does <b>Ctrl+Q</b> do in <b>Normal mode or Insert mode</b>?<br><small>This config · Telescope picker</small>	Send results to quickfix and open the quickfix list.<br><br><small>Exact notation: <code>&lt;C-q&gt;</code></small>	nvim config config::telescope context::picker mode::insert mode::normal
What does <b>Ctrl+U</b> do in <b>Normal mode or Insert mode</b>?<br><small>This config · Telescope picker</small>	Scroll the preview upward.<br><br><small>Exact notation: <code>&lt;C-u&gt;</code></small>	nvim config config::telescope context::picker mode::insert mode::normal
What does <b>Ctrl+D</b> do in <b>Normal mode or Insert mode</b>?<br><small>This config · Telescope picker</small>	Scroll the preview downward.<br><br><small>Exact notation: <code>&lt;C-d&gt;</code></small>	nvim config config::telescope context::picker mode::insert mode::normal
What does <b>Esc</b> do in <b>Normal mode or Insert mode</b>?<br><small>This config · Telescope picker</small>	Leave Insert mode first; from picker Normal mode, close the picker.<br><br><small>Exact notation: <code>&lt;Esc&gt;</code></small>	nvim config config::telescope context::picker mode::insert mode::normal
What does <b>Ctrl+C</b> do in <b>Insert mode</b>?<br><small>This config · Telescope picker</small>	Close the picker.<br><br><small>Exact notation: <code>&lt;C-c&gt;</code></small>	nvim config config::telescope context::picker mode::insert
What does <b>?</b> do in <b>Normal mode</b>?<br><small>This config · Telescope picker</small>	Show Telescope&#x27;s picker-local mapping help.<br><br><small>Exact notation: <code>?</code></small>	nvim config config::telescope context::picker mode::normal
What does <b>Space f e</b> do in <b>Normal mode</b>?<br><small>This config · Neo-tree launch</small>	Toggle the filesystem tree on the left.<br><br><small>Exact notation: <code>&lt;leader&gt;fe</code></small>	nvim config config::neo-tree mode::normal
What does <b>Space f E</b> do in <b>Normal mode</b>?<br><small>This config · Neo-tree launch</small>	Reveal the current file in the filesystem tree.<br><br><small>Exact notation: <code>&lt;leader&gt;fE</code></small>	nvim config config::neo-tree mode::normal
What does <b>C</b> do in <b>Normal mode</b>?<br><small>This config · Neo-tree</small>	Close the current node, or its parent when already closed; h is not mapped.<br><br><small>Exact notation: <code>C</code></small>	nvim config config::neo-tree context::explorer mode::normal
What does <b>Enter</b> do in <b>Normal mode</b>?<br><small>This config · Neo-tree</small>	Expand or collapse a directory, or open a file in the editor.<br><br><small>Exact notation: <code>&lt;CR&gt;</code></small>	nvim config config::neo-tree context::explorer mode::normal
What does <b>l</b> do in <b>Normal mode</b>?<br><small>This config · Neo-tree</small>	Focus the active preview window; unlike stale docs, it does not open nodes.<br><br><small>Exact notation: <code>l</code></small>	nvim config config::neo-tree context::explorer mode::normal
What does <b>Backspace</b> do in <b>Normal mode</b>?<br><small>This config · Neo-tree</small>	Move the tree root up one directory.<br><br><small>Exact notation: <code>&lt;BS&gt;</code></small>	nvim config config::neo-tree context::explorer mode::normal
What does <b>.</b> do in <b>Normal mode</b>?<br><small>This config · Neo-tree</small>	Set the selected directory as the tree root.<br><br><small>Exact notation: <code>.</code></small>	nvim config config::neo-tree context::explorer mode::normal
What does <b>z</b> do in <b>Normal mode</b>?<br><small>This config · Neo-tree</small>	Close all expanded nodes.<br><br><small>Exact notation: <code>z</code></small>	nvim config config::neo-tree context::explorer mode::normal
What does <b>S</b> do in <b>Normal mode</b>?<br><small>This config · Neo-tree</small>	Open the selected file in a horizontal split.<br><br><small>Exact notation: <code>S</code></small>	nvim config config::neo-tree context::explorer mode::normal
What does <b>s</b> do in <b>Normal mode</b>?<br><small>This config · Neo-tree</small>	Open the selected file in a vertical split; this buffer-local map overrides substitute.<br><br><small>Exact notation: <code>s</code></small>	nvim config config::neo-tree context::explorer mode::normal collision
What does <b>t</b> do in <b>Normal mode</b>?<br><small>This config · Neo-tree</small>	Open the selected file in a new tabpage.<br><br><small>Exact notation: <code>t</code></small>	nvim config config::neo-tree context::explorer mode::normal
What does <b>P</b> do in <b>Normal mode</b>?<br><small>This config · Neo-tree</small>	Toggle the preview float for the selected file.<br><br><small>Exact notation: <code>P</code></small>	nvim config config::neo-tree context::explorer mode::normal
What does <b>q</b> do in <b>Normal mode</b>?<br><small>This config · Neo-tree</small>	Close the Neo-tree window.<br><br><small>Exact notation: <code>q</code></small>	nvim config config::neo-tree context::explorer mode::normal
What does <b>Esc</b> do in <b>Normal mode</b>?<br><small>This config · Neo-tree</small>	Cancel or revert an active preview or floating prompt.<br><br><small>Exact notation: <code>&lt;Esc&gt;</code></small>	nvim config config::neo-tree context::explorer mode::normal
What does <b>a</b> do in <b>Normal mode</b>?<br><small>This config · Neo-tree</small>	Add a file; brace expansion is supported.<br><br><small>Exact notation: <code>a</code></small>	nvim config config::neo-tree context::explorer mode::normal
What does <b>A</b> do in <b>Normal mode</b>?<br><small>This config · Neo-tree</small>	Add a directory.<br><br><small>Exact notation: <code>A</code></small>	nvim config config::neo-tree context::explorer mode::normal
What does <b>d</b> do in <b>Normal mode</b>?<br><small>This config · Neo-tree</small>	Delete the selected node after confirmation.<br><br><small>Exact notation: <code>d</code></small>	nvim config config::neo-tree context::explorer mode::normal
What does <b>r</b> do in <b>Normal mode</b>?<br><small>This config · Neo-tree</small>	Rename the selected node&#x27;s full name.<br><br><small>Exact notation: <code>r</code></small>	nvim config config::neo-tree context::explorer mode::normal
What does <b>b</b> do in <b>Normal mode</b>?<br><small>This config · Neo-tree</small>	Rename only the selected node&#x27;s basename.<br><br><small>Exact notation: <code>b</code></small>	nvim config config::neo-tree context::explorer mode::normal
What does <b>y</b> do in <b>Normal mode</b>?<br><small>This config · Neo-tree</small>	Copy the selected node to Neo-tree&#x27;s clipboard.<br><br><small>Exact notation: <code>y</code></small>	nvim config config::neo-tree context::explorer mode::normal
What does <b>x</b> do in <b>Normal mode</b>?<br><small>This config · Neo-tree</small>	Cut the selected node to Neo-tree&#x27;s clipboard.<br><br><small>Exact notation: <code>x</code></small>	nvim config config::neo-tree context::explorer mode::normal
What does <b>p</b> do in <b>Normal mode</b>?<br><small>This config · Neo-tree</small>	Paste from Neo-tree&#x27;s clipboard.<br><br><small>Exact notation: <code>p</code></small>	nvim config config::neo-tree context::explorer mode::normal
What does <b>c</b> do in <b>Normal mode</b>?<br><small>This config · Neo-tree</small>	Copy the selected node to a prompted destination path.<br><br><small>Exact notation: <code>c</code></small>	nvim config config::neo-tree context::explorer mode::normal
What does <b>m</b> do in <b>Normal mode</b>?<br><small>This config · Neo-tree</small>	Move the selected node to a prompted destination path.<br><br><small>Exact notation: <code>m</code></small>	nvim config config::neo-tree context::explorer mode::normal
What does <b>Ctrl+R</b> do in <b>Normal mode</b>?<br><small>This config · Neo-tree</small>	Clear Neo-tree&#x27;s clipboard.<br><br><small>Exact notation: <code>&lt;C-r&gt;</code></small>	nvim config config::neo-tree context::explorer mode::normal
What does <b>H</b> do in <b>Normal mode</b>?<br><small>This config · Neo-tree</small>	Toggle filtered dotfiles and gitignored files.<br><br><small>Exact notation: <code>H</code></small>	nvim config config::neo-tree context::explorer mode::normal
What does <b>/</b> do in <b>Normal mode</b>?<br><small>This config · Neo-tree</small>	Fuzzy-find files within the tree.<br><br><small>Exact notation: <code>/</code></small>	nvim config config::neo-tree context::explorer mode::normal
What does <b>D</b> do in <b>Normal mode</b>?<br><small>This config · Neo-tree</small>	Fuzzy-find directories within the tree.<br><br><small>Exact notation: <code>D</code></small>	nvim config config::neo-tree context::explorer mode::normal
What does <b>[g</b> do in <b>Normal mode</b>?<br><small>This config · Neo-tree</small>	Jump to the previous Git-modified file.<br><br><small>Exact notation: <code>[g</code></small>	nvim config config::neo-tree context::explorer mode::normal
What does <b>]g</b> do in <b>Normal mode</b>?<br><small>This config · Neo-tree</small>	Jump to the next Git-modified file.<br><br><small>Exact notation: <code>]g</code></small>	nvim config config::neo-tree context::explorer mode::normal
What does <b>o</b> do in <b>Normal mode</b>?<br><small>This config · Neo-tree</small>	Open the order-by prefix menu.<br><br><small>Exact notation: <code>o</code></small>	nvim config config::neo-tree context::explorer mode::normal
What does <b>oc</b> do in <b>Normal mode</b>?<br><small>This config · Neo-tree order</small>	Order entries by creation time.<br><br><small>Exact notation: <code>oc</code></small>	nvim config config::neo-tree context::explorer mode::normal
What does <b>od</b> do in <b>Normal mode</b>?<br><small>This config · Neo-tree order</small>	Order entries by diagnostics.<br><br><small>Exact notation: <code>od</code></small>	nvim config config::neo-tree context::explorer mode::normal
What does <b>og</b> do in <b>Normal mode</b>?<br><small>This config · Neo-tree order</small>	Order entries by Git status.<br><br><small>Exact notation: <code>og</code></small>	nvim config config::neo-tree context::explorer mode::normal
What does <b>om</b> do in <b>Normal mode</b>?<br><small>This config · Neo-tree order</small>	Order entries by modification time.<br><br><small>Exact notation: <code>om</code></small>	nvim config config::neo-tree context::explorer mode::normal
What does <b>on</b> do in <b>Normal mode</b>?<br><small>This config · Neo-tree order</small>	Order entries by name.<br><br><small>Exact notation: <code>on</code></small>	nvim config config::neo-tree context::explorer mode::normal
What does <b>os</b> do in <b>Normal mode</b>?<br><small>This config · Neo-tree order</small>	Order entries by size.<br><br><small>Exact notation: <code>os</code></small>	nvim config config::neo-tree context::explorer mode::normal
What does <b>ot</b> do in <b>Normal mode</b>?<br><small>This config · Neo-tree order</small>	Order entries by type.<br><br><small>Exact notation: <code>ot</code></small>	nvim config config::neo-tree context::explorer mode::normal
What does <b>e</b> do in <b>Normal mode</b>?<br><small>This config · Neo-tree</small>	Toggle automatic tree-width expansion.<br><br><small>Exact notation: <code>e</code></small>	nvim config config::neo-tree context::explorer mode::normal
What does <b>R</b> do in <b>Normal mode</b>?<br><small>This config · Neo-tree</small>	Refresh the filesystem tree.<br><br><small>Exact notation: <code>R</code></small>	nvim config config::neo-tree context::explorer mode::normal
What does <b>i</b> do in <b>Normal mode</b>?<br><small>This config · Neo-tree</small>	Show details for the selected file.<br><br><small>Exact notation: <code>i</code></small>	nvim config config::neo-tree context::explorer mode::normal
What does <b>?</b> do in <b>Normal mode</b>?<br><small>This config · Neo-tree</small>	Show Neo-tree&#x27;s local mapping help.<br><br><small>Exact notation: <code>?</code></small>	nvim config config::neo-tree context::explorer mode::normal
What does <b>Space f y</b> do in <b>Normal mode or Visual mode</b>?<br><small>This config · Yazi launch</small>	Open optional Yazi at the current file or selected path; requires yazi at startup.<br><br><small>Exact notation: <code>&lt;leader&gt;fy</code></small>	nvim config config::yazi mode::normal mode::visual
What does <b>Space f Y</b> do in <b>Normal mode</b>?<br><small>This config · Yazi launch</small>	Open optional Yazi at Neovim&#x27;s cwd; requires yazi at startup.<br><br><small>Exact notation: <code>&lt;leader&gt;fY</code></small>	nvim config config::yazi mode::normal
What does <b>Space f r</b> do in <b>Normal mode</b>?<br><small>This config · Yazi launch</small>	Resume or toggle the last Yazi session; requires yazi at startup.<br><br><small>Exact notation: <code>&lt;leader&gt;fr</code></small>	nvim config config::yazi mode::normal
What does <b>F1</b> do in <b>Terminal-job mode</b>?<br><small>This config · Yazi</small>	Show the yazi.nvim integration help.<br><br><small>Exact notation: <code>&lt;F1&gt;</code></small>	nvim config config::yazi context::yazi mode::terminal
What does <b>Ctrl+V</b> do in <b>Terminal-job mode</b>?<br><small>This config · Yazi</small>	Open the selected path in a vertical split.<br><br><small>Exact notation: <code>&lt;C-v&gt;</code></small>	nvim config config::yazi context::yazi mode::terminal
What does <b>Ctrl+X</b> do in <b>Terminal-job mode</b>?<br><small>This config · Yazi</small>	Open the selected path in a horizontal split.<br><br><small>Exact notation: <code>&lt;C-x&gt;</code></small>	nvim config config::yazi context::yazi mode::terminal
